Раздел Меню;Ссылка;Группа;Ссылка;Анализ;Ссылка;Наименование;Ссылка;Артикул;Цена;Акция;Готовность
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Глюкоза и метаболиты углеводного обмена;https://www.invitro.ru/analizes/for-doctors/samara/481/;Глюкоза (в крови) (Glucose);https://www.invitro.ru/analizes/for-doctors/samara/481/2212/;16;190;Без акции;1 календарный день
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Глюкоза и метаболиты углеводного обмена;https://www.invitro.ru/analizes/for-doctors/samara/481/;Гликированный гемоглобин (HbA1С, Glycated Hemoglobin);https://www.invitro.ru/analizes/for-doctors/samara/481/2214/;18;540;https://www.invitro.ru/samara/ak/eto-prosto-cifry-04-05-2023-rf/;1 рабочий день
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Глюкоза и метаболиты углеводного обмена;https://www.invitro.ru/analizes/for-doctors/samara/481/;Фруктозамин (Fructosamine);https://www.invitro.ru/analizes/for-doctors/samara/481/2213/;17;720;Без акции;до 2 рабочих дней
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Глюкоза и метаболиты углеводного обмена;https://www.invitro.ru/analizes/for-doctors/samara/481/;Глюкозотолерантный тест с определением глюкозы в венозной крови натощак и после нагрузки через 2 часа;https://www.invitro.ru/analizes/for-doctors/samara/481/2545/;ГТТ;785;Без акции;до 2 календарных дней
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Глюкоза и метаболиты углеводного обмена;https://www.invitro.ru/analizes/for-doctors/samara/481/;Глюкозотолерантный тест с определением глюкозы и С-пептида в венозной крови натощак и через 2 часа после углеводной нагрузки;https://www.invitro.ru/analizes/for-doctors/samara/481/2546/;ГТГС;1 760;Без акции;1 календарный день
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Глюкоза и метаболиты углеводного обмена;https://www.invitro.ru/analizes/for-doctors/samara/481/;Глюкозотолерантный тест при беременности;https://www.invitro.ru/analizes/for-doctors/samara/481/35542/;ГТБ-С;1 030;Без акции;до 2 календарных дней
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Глюкоза и метаболиты углеводного обмена;https://www.invitro.ru/analizes/for-doctors/samara/481/;Лактат (Молочная кислота, Lactate);https://www.invitro.ru/analizes/for-doctors/samara/481/2490/;215;685;Без акции;1 календарный день
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Белки и аминокислоты;https://www.invitro.ru/analizes/for-doctors/samara/482/;Общий белок (в крови) (Protein total);https://www.invitro.ru/analizes/for-doctors/samara/482/2869/;28;210;https://www.invitro.ru/samara/ak/eto-prosto-cifry-04-05-2023-rf/;1 календарный день
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Белки и аминокислоты;https://www.invitro.ru/analizes/for-doctors/samara/482/;Альбумин (в крови) (Albumin);https://www.invitro.ru/analizes/for-doctors/samara/482/2868/;10;280;Без акции;1 календарный день
Анализы;https://www.invitro.ru/analizes/for-doctors/samara/;Биохимические исследования;https://www.invitro.ru/analizes/for-doctors/samara/140/;Белки и аминокислоты;https://www.invitro.ru/analizes/for-doctors/samara/482/;Гомоцистеин (Homocysteine);https://www.invitro.ru/analizes/for-doctors/samara/482/2221/;153;1 530;Без акции;1 календарный день
